feature,importance
EVI_jul,336.7495914345943
LSWI_jul,312.0032907332481
GCVI_jul,307.77297178551777
NDVI_apr,305.2590205700742
EVI_aug,297.18329218197107
shape_peak_skewness,291.39500635581436
NDVI_may,287.88753205005617
shape_mid_dip,274.4624346740159
shape_winter_ratio,269.7031296440213
shape_integrated_ndvi,260.5068843156001
NDVI_nov,257.5352032331053
LSWI_aug,256.5097221514884
NDVI_jan,255.3734693812442
GCVI_jun,252.83554196355382
NDVI_jun,246.32664417382858
GCVI_aug,238.92524770902668
NDVI_aug,225.90814502847036
GCVI_sep,223.29041286584152
LSWI_sep,218.31631904343448
NDVI_sep,213.0316280229506
shape_season_length,164.96280525835923
